광역시도,시군구,행정구,구분,합계,15세미만,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
인천, 서구,,계,515884,79861,26410,27455,35977,34746,46339,44432,48441,46626,43564,32315,18463,12985,9111,5649,3510
인천, 서구,,남자,257587,41144,13336,12582,18431,17434,23573,22533,24376,23192,22299,16429,9202,6207,3874,2016,959
인천, 서구,,여자,258297,38717,13074,14873,17546,17312,22766,21899,24065,23434,21265,15886,9261,6778,5237,3633,2551
인천, 미추홀구,,계,391216,43513,17158,24459,29571,25453,30997,28703,32746,32151,33729,30694,20225,16713,12680,7724,4700
인천, 미추홀구,,남자,195241,22320,8766,11949,15881,13604,16458,15151,16835,15943,16459,14713,9504,7778,5509,3037,1334
인천, 미추홀구,,여자,195975,21193,8392,12510,13690,11849,14539,13552,15911,16208,17270,15981,10721,8935,7171,4687,3366
인천, 강화군,,계,60622,5137,1563,1872,2389,2074,2744,3018,4073,4860,6462,7028,5194,4790,4229,3123,2066
인천, 강화군,,남자,30141,2629,848,945,1354,1090,1425,1590,2228,2460,3174,3461,2558,2346,1952,1376,705
인천, 강화군,,여자,30481,2508,715,927,1035,984,1319,1428,1845,2400,3288,3567,2636,2444,2277,1747,1361
인천, 옹진군,,계,17746,1505,483,779,1069,851,976,988,1137,1375,1952,2008,1374,1212,874,638,525
인천, 옹진군,,남자,9801,769,274,587,691,540,566,592,707,791,1101,1053,728,597,413,240,152
인천, 옹진군,,여자,7945,736,209,192,378,311,410,396,430,584,851,955,646,615,461,398,373
광주,소계,,계,1409750,198574,78709,92050,96736,81846,109491,111747,130062,121938,111871,91096,60843,50106,38425,22967,13289
광주,소계,,남자,692954,102454,39289,42421,50185,41614,54974,55533,64701,60777,55516,44267,28721,22930,16579,8952,4041
광주,소계,,여자,716796,96120,39420,49629,46551,40232,54517,56214,65361,61161,56355,46829,32122,27176,21846,14015,9248
광주, 동구,,계,95738,9340,3874,7345,7147,5855,6523,5929,6956,7179,7889,7707,5934,5351,4496,2719,1494
광주, 동구,,남자,47381,4817,1906,3600,3764,3059,3446,3200,3560,3571,3770,3697,2747,2374,2060,1232,578
광주, 동구,,여자,48357,4523,1968,3745,3383,2796,3077,2729,3396,3608,4119,4010,3187,2977,2436,1487,916
광주, 서구,,계,289981,37778,16238,18455,20788,16856,21634,22596,27768,26344,23764,19394,12808,10412,7796,4635,2715
광주, 서구,,남자,141373,19681,8184,8355,10490,8559,10727,10936,13444,13146,11619,9347,6067,4770,3419,1820,809
광주, 서구,,여자,148608,18097,8054,10100,10298,8297,10907,11660,14324,13198,12145,10047,6741,5642,4377,2815,1906
광주, 남구,,계,209133,28312,11157,12575,12949,11011,15560,15767,17718,16994,17076,15642,11126,9385,7163,4212,2486
광주, 남구,,남자,100399,14352,5425,5681,6637,5501,7633,7784,8711,8211,8004,7356,5158,4289,3187,1687,783
광주, 남구,,여자,108734,13960,5732,6894,6312,5510,7927,7983,9007,8783,9072,8286,5968,5096,3976,2525,1703
광주, 북구,,계,422264,54761,22847,28071,30198,25123,31631,31090,36739,36921,36166,29784,19911,15966,11940,7034,4082
광주, 북구,,남자,208100,28418,11538,13047,15931,12858,16249,15707,18111,18171,17611,14407,9533,7409,5151,2733,1226
광주, 북구,,여자,214164,26343,11309,15024,14267,12265,15382,15383,18628,18750,18555,15377,10378,8557,6789,4301,2856
광주, 광산구,,계,392634,68383,24593,25604,25654,23001,34143,36365,40881,34500,26976,18569,11064,8992,7030,4367,2512
광주, 광산구,,남자,195701,35186,12236,11738,13363,11637,16919,17906,20875,17678,14512,9460,5216,4088,2762,1480,645
광주, 광산구,,여자,196933,33197,12357,13866,12291,11364,17224,18459,20006,16822,12464,9109,5848,4904,4268,2887,1867
대전,소계,,계,1420059,188996,76028,97373,103601,88788,107182,107948,127004,121535,116369,98441,64487,47082,37396,23799,14030
대전,소계,,남자,704772,97296,38903,46855,55538,46633,54110,53437,63179,60049,57427,48190,31089,22202,16184,9267,4413
대전,소계,,여자,715287,91700,37125,50518,48063,42155,53072,54511,63825,61486,58942,50251,33398,24880,21212,14532,9617
대전, 동구,,계,221955,25411,11844,18349,14709,11641,15248,15456,17942,17749,18632,17190,12422,9637,8154,4867,2704
대전, 동구,,남자,111143,13131,6000,9073,8195,6265,7943,7956,9422,8937,9247,8280,5900,4456,3544,1890,904
대전, 동구,,여자,110812,12280,5844,9276,6514,5376,7305,7500,8520,8812,9385,8910,6522,5181,4610,2977,1800
대전, 중구,,계,227181,26598,11329,12885,14761,11930,15231,16574,19901,19551,19285,17968,13147,10776,8568,5538,3139
대전, 중구,,남자,110975,13592,5806,5929,7610,6163,7636,8281,10084,9710,9430,8612,6059,5014,3731,2269,1049
대전, 중구,,여자,116206,13006,5523,6956,7151,5767,7595,8293,9817,9841,9855,9356,7088,5762,4837,3269,2090
