상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,빽다방 매장수
빽다방,수원인계CGV점,경기도 수원시 팔달구 효원로265번길 54,127.03193145846201,37.264445457667996,경기도,팔달구,팔달,빽다방,1
빽다방,용인구성역점,경기도 용인시 기흥구 용구대로 2398,127.10727124933901,37.300297288921,경기도,기흥구,기흥,빽다방,1
빽다방,평택팽성점,경기도 평택시 팽성읍 팽성송화로 219,127.063269900422,36.964256841414795,경기도,평택시,평택,빽다방,1
빽다방,용인역북남부점,경기도 용인시 처인구 명지로60번길 8-13,127.187325357634,37.2319038447691,경기도,처인구,처인,빽다방,1
빽다방,문산당동점,경기도 파주시 문산읍 방촌로 1725,126.78470662359301,37.8667544286019,경기도,파주시,파주,빽다방,1
빽다방,수원탑동점,경기도 수원시 권선구 탑동로3번길 13,126.97449678566299,37.2688818159778,경기도,권선구,권선,빽다방,1
빽다방,시흥배곧메가점,경기도 시흥시 서울대학로278번길 43-13,126.73017755529301,37.3692157936499,경기도,시흥시,시흥,빽다방,1
빽다방,김포통진마송점,경기도 김포시 통진읍 조강로 39,126.600752594394,37.689660728255795,경기도,김포시,김포,빽다방,1
빽다방,광교법조타운점,경기도 수원시 영통구 광교중앙로266번길 22,127.068360173494,37.2926805503353,경기도,영통구,영통,빽다방,1
빽다방,동탄중앙어울림점,경기도 화성시 동탄대로시범길 142,127.11337744013399,37.1999158120248,경기도,화성시,화성,빽다방,1
빽다방,양평로데오점,경기도 양평군 양평읍 양평시장길 14-3,127.49205277167201,37.490353420697,경기도,양평군,양평,빽다방,1
빽다방,화성향남로데오점,경기도 화성시 향남읍 상신하길로328번길 26,126.913511920411,37.1163416293247,경기도,화성시,화성,빽다방,1
빽다방,안산중앙역롯데점,경기도 안산시 단원구 고잔로 108,126.83802957941201,37.31855853779479,경기도,단원구,단원,빽다방,1
빽다방,수원못골시장점,경기도 수원시 팔달구 중부대로 42,127.021420806853,37.275136068438,경기도,팔달구,팔달,빽다방,1
빽다방,산성역점,경기도 성남시 수정구 수정로 346,127.149987144858,37.454399329865396,경기도,수정구,수정,빽다방,1
빽다방,부천원미사거리점,경기도 부천시 원미로 119,126.790931163783,37.4932958602677,경기도,부천시,부천,빽다방,1
빽다방,시흥세종프라자점,경기도 시흥시 함송로 24,126.73036911783001,37.3632078433559,경기도,시흥시,시흥,빽다방,1
빽다방,망월사역점,경기도 의정부시 평화로 196,127.048389813075,37.709431351065895,경기도,의정부시,의정부,빽다방,1
빽다방,시흥은행점,경기도 시흥시 은행로155번길 5,126.798904219852,37.4445046988807,경기도,시흥시,시흥,빽다방,1
빽다방,김포풍무역점,경기도 김포시 유현로238번길 31,126.73283267463002,37.611387775531504,경기도,김포시,김포,빽다방,1
빽다방,야당역점,경기도 파주시 소리천로8번길 24,126.760227718979,37.7130964497797,경기도,파주시,파주,빽다방,1
빽다방,옥길퀸즈파크점,경기도 부천시 옥길로 118,126.823036570623,37.4672826405447,경기도,부천시,부천,빽다방,1
빽다방,평택안중점,경기도 평택시 안중읍 안현로서8길 57,126.919343406189,36.9789570458192,경기도,평택시,평택,빽다방,1
빽다방,경기광주경안점,경기도 광주시 중앙로 110,127.258551896452,37.4096258000093,경기도,광주시,광주,빽다방,1
빽다방,산본사거리점,경기도 군포시 고산로 694-1,126.935604583924,37.3716575282452,경기도,군포시,군포,빽다방,1
빽다방,일산문화공원점,경기도 고양시 일산동구 중앙로1275번길 38-10,126.770927134288,37.6599409333231,경기도,일산동구,일산동,빽다방,1
빽다방,시흥능곡점,경기도 시흥시 승지로 58,126.810653316684,37.369016267281204,경기도,시흥시,시흥,빽다방,1
빽다방,통영시립도서관점,경상남도 통영시 무전3길 14,128.425046460807,34.8608811956154,경상남도,통영시,통영,빽다방,1
빽다방,창원상남시장점,경상남도 창원시 성산구 마디미로 39,128.683652072571,35.2210086536282,경상남도,성산구,성산,빽다방,1
빽다방,진주로데오점,경상남도 진주시 촉석로186번길 6,128.082379817777,35.1947860360301,경상남도,진주시,진주,빽다방,1
빽다방,창원시티세븐점,경상남도 창원시 의창구 창원천로94번길 19,128.6530455785,35.2398188564859,경상남도,의창구,의창,빽다방,1
빽다방,진주경상대1호점,경상남도 진주시 진주대로516번길 6-1,128.10611029504,35.1522285348872,경상남도,진주시,진주,빽다방,1
빽다방,김해내외동점,경상남도 김해시 내외중앙로 47,128.866292191974,35.2343250195127,경상남도,김해시,김해,빽다방,1
빽다방,창원경남대점,경상남도 창원시 마산합포구 해안대로 2,128.55921193062798,35.180235997897604,경상남도,마산합포구,마산합포,빽다방,1
빽다방양산터미널점,양산터미널점,경상남도 양산시 양산역4길 7,129.02841729310302,35.336110539732104,경상남도,양산시,양산,빽다방,1
빽다방,통영터미널점,경상남도 통영시 광도면 죽림4로 37-11,128.418451272712,34.8845678866471,경상남도,통영시,통영,빽다방,1
빽다방김해진영신도시점,김해진영신도시점,경상남도 김해시 진영읍 김해대로361번길 8,128.729815891181,35.3074993090333,경상남도,김해시,김해,빽다방,1
빽다방경남고성송학점,경남고성송학점,경상남도 고성군 고성읍 송학로 140,128.32460264942802,34.9775622011731,경상남도,고성군,고성(경남),빽다방,1
더본코리아_빽다방통영,시립도서관점,경상남도 통영시 무전3길 14,128.425046460807,34.8608811956154,경상남도,통영시,통영,빽다방,1
더본코리아_빽다방경남,고성송학점,경상남도 고성군 고성읍 송학로 140,128.324591768372,34.9775802595891,경상남도,고성군,고성(경남),빽다방,1
더본코리아_빽다방진주경상대,1호점,경상남도 진주시 진주대로516번길 6-1,128.10611029504,35.1522285348872,경상남도,진주시,진주,빽다방,1
빽다방,진주과기대점,경상남도 진주시 동진로 21,128.093475149387,35.179174057515304,경상남도,진주시,진주,빽다방,1
빽다방,경남거창중앙점,경상남도 거창군 거창읍 중앙로 123,127.91184144548201,35.686812100855,경상남도,거창군,거창,빽다방,1
빽다방,하양중앙점,경상북도 경산시 하양읍 하양로 76,128.816755715043,35.9115849613946,경상북도,경산시,경산,빽다방,1
빽다방,포항죽도시장점,경상북도 포항시 북구 중앙로 256-3,129.36528805232598,36.0359111401056,경상북도,북구,북,빽다방,1
빽다방,문화의거리점,경상북도 안동시 서동문로 184,128.73200266850202,36.56593189056579,경상북도,안동시,안동,빽다방,1
빽다방,경산영남대점,경상북도 경산시 대학로 283-2,128.753216906705,35.836803859654005,경상북도,경산시,경산,빽다방,1
빽다방,구미옥계삼구점,경상북도 구미시 옥계북로 27,128.420786514066,36.1386274363725,경상북도,구미시,구미,빽다방,1
빽다방,,경상북도 안동시 광명로 171-1,128.701565398971,36.5629606345863,경상북도,안동시,안동,빽다방,1
빽다방,울진후포점,경상북도 울진군 후포면 후포로 38-1,129.445786566419,36.6790660120971,경상북도,울진군,울진,빽다방,1
빽다방,경주분황사점,경상북도 경주시 알천남로 314,129.23187056491997,35.8425214568643,경상북도,경주시,경주,빽다방,1
빽다방,구미옥계삼구점,경상북도 구미시 옥계북로 33,128.42077073985598,36.1398352192286,경상북도,구미시,구미,빽다방,1
빽다방,경주로데오점,경상북도 경주시 계림로 101,129.213334348854,35.843557253144496,경상북도,경주시,경주,빽다방,1
빽다방경산하양중앙점,경산하양중앙점,경상북도 경산시 하양읍 하양로 74,128.816632740279,35.911477641507204,경상북도,경산시,경산,빽다방,1
빽다방구미상모점,구미상모점,경상북도 구미시 상사서로 77,128.35494083170602,36.0893234993968,경상북도,구미시,구미,빽다방,1
빽다방,포항영일대점,경상북도 포항시 북구 삼호로 237,129.37831667109398,36.0595725575721,경상북도,북구,북,빽다방,1
빽다방,예천신도시점,경상북도 예천군 호명면 새움3로 26,128.48965577867799,36.5764470501342,경상북도,예천군,예천,빽다방,1
빽다방,구미인동점,경상북도 구미시 인동중앙로 8,128.420402919438,36.1062814249427,경상북도,구미시,구미,빽다방,1
빽다방,구미형곡점,경상북도 구미시 신시로 59,128.338819926099,36.1132455296596,경상북도,구미시,구미,빽다방,1
빽다방,구미확장단지점,경상북도 구미시 산동면 신당1로2길 13,128.431722490191,36.155289378256604,경상북도,구미시,구미,빽다방,1
빽다방,포항문덕점,경상북도 포항시 남구 오천읍 원동로 24,129.403280534244,35.9651672799815,경상북도,남구,남,빽다방,1
빽다방,영주가흥동점,경상북도 영주시 대동로34번길 2,128.605931279416,36.8148562703958,경상북도,영주시,영주,빽다방,1
